Accident_ID,Severity
1,Significant_Damage_And_Serious_Injuries
10,Significant_Damage_And_Serious_Injuries
14,Significant_Damage_And_Serious_Injuries
17,Significant_Damage_And_Serious_Injuries
21,Significant_Damage_And_Serious_Injuries
40,Significant_Damage_And_Serious_Injuries
45,Significant_Damage_And_Serious_Injuries
50,Significant_Damage_And_Serious_Injuries
52,Significant_Damage_And_Serious_Injuries
85,Significant_Damage_And_Serious_Injuries
95,Significant_Damage_And_Serious_Injuries
106,Significant_Damage_And_Serious_Injuries
111,Significant_Damage_And_Serious_Injuries
123,Significant_Damage_And_Serious_Injuries
129,Significant_Damage_And_Serious_Injuries
130,Significant_Damage_And_Serious_Injuries
132,Significant_Damage_And_Serious_Injuries
137,Significant_Damage_And_Serious_Injuries
159,Significant_Damage_And_Serious_Injuries
161,Significant_Damage_And_Serious_Injuries
162,Significant_Damage_And_Serious_Injuries
166,Significant_Damage_And_Serious_Injuries
170,Significant_Damage_And_Serious_Injuries
173,Significant_Damage_And_Serious_Injuries
177,Significant_Damage_And_Serious_Injuries
180,Significant_Damage_And_Serious_Injuries
182,Significant_Damage_And_Serious_Injuries
183,Significant_Damage_And_Serious_Injuries
184,Significant_Damage_And_Serious_Injuries
188,Significant_Damage_And_Serious_Injuries
190,Significant_Damage_And_Serious_Injuries
191,Significant_Damage_And_Serious_Injuries
201,Significant_Damage_And_Serious_Injuries
203,Significant_Damage_And_Serious_Injuries
206,Significant_Damage_And_Serious_Injuries
217,Significant_Damage_And_Serious_Injuries
220,Significant_Damage_And_Serious_Injuries
221,Significant_Damage_And_Serious_Injuries
225,Significant_Damage_And_Serious_Injuries
229,Significant_Damage_And_Serious_Injuries
231,Significant_Damage_And_Serious_Injuries
232,Significant_Damage_And_Serious_Injuries
234,Significant_Damage_And_Serious_Injuries
236,Significant_Damage_And_Serious_Injuries
237,Significant_Damage_And_Serious_Injuries
240,Significant_Damage_And_Serious_Injuries
245,Significant_Damage_And_Serious_Injuries
250,Significant_Damage_And_Serious_Injuries
252,Significant_Damage_And_Serious_Injuries
254,Significant_Damage_And_Serious_Injuries
261,Significant_Damage_And_Serious_Injuries
265,Significant_Damage_And_Serious_Injuries
266,Significant_Damage_And_Serious_Injuries
271,Significant_Damage_And_Serious_Injuries
273,Significant_Damage_And_Serious_Injuries
274,Significant_Damage_And_Serious_Injuries
275,Significant_Damage_And_Serious_Injuries
280,Significant_Damage_And_Serious_Injuries
285,Significant_Damage_And_Serious_Injuries
292,Significant_Damage_And_Serious_Injuries
304,Significant_Damage_And_Serious_Injuries
311,Significant_Damage_And_Serious_Injuries
316,Significant_Damage_And_Serious_Injuries
317,Significant_Damage_And_Serious_Injuries
318,Significant_Damage_And_Serious_Injuries
321,Significant_Damage_And_Serious_Injuries
322,Significant_Damage_And_Serious_Injuries
327,Significant_Damage_And_Serious_Injuries
332,Significant_Damage_And_Serious_Injuries
338,Significant_Damage_And_Serious_Injuries
356,Significant_Damage_And_Serious_Injuries
364,Significant_Damage_And_Serious_Injuries
372,Significant_Damage_And_Serious_Injuries
379,Significant_Damage_And_Serious_Injuries
380,Significant_Damage_And_Serious_Injuries
384,Significant_Damage_And_Serious_Injuries
388,Significant_Damage_And_Serious_Injuries
390,Significant_Damage_And_Serious_Injuries
401,Significant_Damage_And_Serious_Injuries
408,Significant_Damage_And_Serious_Injuries
413,Significant_Damage_And_Serious_Injuries
416,Significant_Damage_And_Serious_Injuries
426,Significant_Damage_And_Serious_Injuries
428,Significant_Damage_And_Serious_Injuries
432,Significant_Damage_And_Serious_Injuries
433,Significant_Damage_And_Serious_Injuries
437,Significant_Damage_And_Serious_Injuries
440,Significant_Damage_And_Serious_Injuries
444,Significant_Damage_And_Serious_Injuries
447,Significant_Damage_And_Serious_Injuries
451,Significant_Damage_And_Serious_Injuries
461,Significant_Damage_And_Serious_Injuries
469,Significant_Damage_And_Serious_Injuries
470,Significant_Damage_And_Serious_Injuries
481,Significant_Damage_And_Serious_Injuries
483,Significant_Damage_And_Serious_Injuries
490,Significant_Damage_And_Serious_Injuries
491,Significant_Damage_And_Serious_Injuries
494,Significant_Damage_And_Serious_Injuries
495,Significant_Damage_And_Serious_Injuries
497,Significant_Damage_And_Serious_Injuries
504,Significant_Damage_And_Serious_Injuries
509,Significant_Damage_And_Serious_Injuries
511,Significant_Damage_And_Serious_Injuries
513,Significant_Damage_And_Serious_Injuries
514,Significant_Damage_And_Serious_Injuries
518,Significant_Damage_And_Serious_Injuries
520,Significant_Damage_And_Serious_Injuries
526,Significant_Damage_And_Serious_Injuries
529,Significant_Damage_And_Serious_Injuries
530,Significant_Damage_And_Serious_Injuries
532,Significant_Damage_And_Serious_Injuries
536,Significant_Damage_And_Serious_Injuries
543,Significant_Damage_And_Serious_Injuries
553,Significant_Damage_And_Serious_Injuries
559,Significant_Damage_And_Serious_Injuries
561,Significant_Damage_And_Serious_Injuries
563,Significant_Damage_And_Serious_Injuries
566,Significant_Damage_And_Serious_Injuries
593,Significant_Damage_And_Serious_Injuries
595,Significant_Damage_And_Serious_Injuries
597,Significant_Damage_And_Serious_Injuries
602,Significant_Damage_And_Serious_Injuries
604,Significant_Damage_And_Serious_Injuries
615,Significant_Damage_And_Serious_Injuries
617,Significant_Damage_And_Serious_Injuries
618,Significant_Damage_And_Serious_Injuries
622,Significant_Damage_And_Serious_Injuries
626,Significant_Damage_And_Serious_Injuries
633,Significant_Damage_And_Serious_Injuries
636,Significant_Damage_And_Serious_Injuries
642,Significant_Damage_And_Serious_Injuries
648,Significant_Damage_And_Serious_Injuries
651,Significant_Damage_And_Serious_Injuries
653,Significant_Damage_And_Serious_Injuries
658,Significant_Damage_And_Serious_Injuries
659,Significant_Damage_And_Serious_Injuries
660,Significant_Damage_And_Serious_Injuries
662,Significant_Damage_And_Serious_Injuries
665,Significant_Damage_And_Serious_Injuries
674,Significant_Damage_And_Serious_Injuries
676,Significant_Damage_And_Serious_Injuries
682,Significant_Damage_And_Serious_Injuries
686,Significant_Damage_And_Serious_Injuries
687,Significant_Damage_And_Serious_Injuries
692,Significant_Damage_And_Serious_Injuries
699,Significant_Damage_And_Serious_Injuries
703,Significant_Damage_And_Serious_Injuries
706,Significant_Damage_And_Serious_Injuries
708,Significant_Damage_And_Serious_Injuries
714,Significant_Damage_And_Serious_Injuries
719,Significant_Damage_And_Serious_Injuries
721,Significant_Damage_And_Serious_Injuries
725,Significant_Damage_And_Serious_Injuries
728,Significant_Damage_And_Serious_Injuries
733,Significant_Damage_And_Serious_Injuries
735,Significant_Damage_And_Serious_Injuries
736,Significant_Damage_And_Serious_Injuries
745,Significant_Damage_And_Serious_Injuries
762,Significant_Damage_And_Serious_Injuries
768,Significant_Damage_And_Serious_Injuries
773,Significant_Damage_And_Serious_Injuries
